ID,Región,Comuna,Especie,Altura_m,Diametro_cm,Densidad_Arboles_ha,Carbono_Almacenado_tn,Indice_de_Vigor,Edad_Aprox_Anios,Cobertura_Copa_%
1,Aysén,Valdivia,LaureliaSempervirens,19.261725832308834,5.96823407407981,160,61.465940199155455,0.6343293572573794,88,66.22263017327799
2,magallanes,punta arenas,Laurelia sempervirens,14.968267894635824,47.996187600519335,444,36.882143109634036,0.8183152116542717,82,13.360461393504952
3,Los Ríoos,Coyhaique,LaureliaSempervirens,12.729157069202055,16.903631258914686,107,36.435959029054594,0.6408541364156,44,82.54982654552423
4,aysen,Valdvia,Nothofagus obliqua,16.69800926710845,10.350420413330617,371,41.81767768340727,0.31039809529584483,29,48.75782472265541
5,Aysén,coyhaique,Nothofagus oblqua,6.25626961931806,31.305156130040956,345,39.89357201570938,0.6561111504781671,29,46.82615878222663
6,magallanes,Validvia,F. cupressoides,24.905404469646086,12.914814967692791,275,65.44761368819701,0.21046174768321224,7,55.31732847837074
7,Los Ríos,Pto. Montt,N. dombeyi,18.270527979283056,21.952012514251145,592,56.53598483327026,0.31825499727942086,73,21.950763741698232
8,los rios,coihaique,N. pumilio,19.334951098641362,35.488504258088284,215,58.36680860604647,0.24006965310717865,106,47.53328388539189
9,Aysén,Coyaique,Nothofagus pumilio,9.629233090616946,47.72687268474046,416,52.87504455195164,0.5569251023902065,30,76.49017733741965
10,Los Lagos,punta arenas,Nothofagus oblqua,21.41324320648298,33.875118082723766,370,53.58156073006032,0.1082266467655486,44,11.238596731001227
11,Aysén,Coyaique,NothofagusPumilio,12.699914194868525,25.6084072912312,292,26.27273876989533,0.9333103803483387,42,31.833372825949702
12,Aysenn,Coyaique,Nothofagus oblqua,10.237209385907184,29.485804455931582,249,61.91275486527153,0.3335123536628668,42,10.196366915507538
13,aysen,PuertoMontt,FitzroyaCupressoides,14.804138146968903,11.914140428250974,230,41.54777779112836,0.21897012710580133,72,43.256904731987866
14,aysen,Coyaique,Nothofagus dombeyi,14.687224570058131,25.4924789083485,201,49.502670004250106,0.49654981360183126,11,68.26524083949877
15,magallanes,Pto Montt,Fitzroya cupressoides,9.607314637440016,25.502183960730555,409,42.902406167969986,0.27699781845471605,98,73.90174632917028
16,Los Ríos,PuertoMontt,LaureliaSempervirens,10.525313232293174,31.5332866213718,369,52.18807347727513,0.5349040863826443,34,85.61518089016053
17,magallanes,PuertoMontt,LaureliaSempervirens,10.13384112335975,49.42189612693771,391,58.59640890865994,0.34850914978208547,23,58.68036903766292
18,magallanes,Pto. Montt,LaureliaSempervirens,10.181424660715876,10.632047112677611,309,34.867174512150065,0.1320668107690408,107,30.370149332231637
19,Magallanes,Valdivia,Fitzroya cupres.,13.059510464501997,25.923223884255133,594,53.791238363660035,0.265895242027262,39,83.93183593093592
20,Aysen,Punta Arenas,NothofagusPumilio,8.05507431913771,11.664904560081542,460,43.26496131869215,0.4384398449615252,108,72.02526031043008
21,Los Lagos,valdivia,Nothofagus dombeyi,11.543127512930322,24.96635906749492,437,69.82188163814006,0.030293226479625623,37,55.95427864025156
22,los rios,coyhaique,Laurelia sempervirens,20.225672741921343,21.353978588820063,166,33.280618955305584,0.770642527014762,37,65.65121725751487
23,Los Lagos,Valdvia,L. sempervirens,19.116547260520917,15.056536924985998,109,34.962255956539195,0.6218245645904158,82,83.94530840059433
24,Magallane,Valdvia,LaureliaSempervirens,9.750603795536227,39.13092030529779,148,44.606446729447846,0.6013596072783542,42,66.99152227783372
25,Magallanes,coihaique,Nothofagus dombey,19.791024586471167,32.5564770385043,586,36.11534427479242,0.546049931882766,14,39.46996060677872
26,los lagos,coyhaique,Laurelia semp.,5.167803654319755,37.95855629654046,210,46.634284805196316,0.5903131723250685,61,67.04225618312773
27,LosLagos,coyhaique,Nothofagus dombey,27.145721610060768,24.683461753325055,420,42.0817174082643,0.9346519527072206,32,13.22225301883103
