ID,Región,Comuna,Especie,Altura_m,Diametro_cm,Densidad_Arboles_ha,Carbono_Almacenado_tn,Indice_de_Vigor,Edad_Aprox_Anios,Cobertura_Copa_%
1,Aysén,Valdivia,Laurelia sempervirens,19.261725832308837,5.96823407407981,160,61.465940199155455,0.6343293572573794,88,66.22263017327799
2,Magallanes y de la Antártica Chilena,Punta Arenas,Laurelia sempervirens,14.968267894635824,47.996187600519335,444,36.88214310963404,0.8183152116542717,82,13.360461393504952
3,Los Ríos,Coyhaique,Laurelia sempervirens,12.729157069202056,16.903631258914686,107,36.435959029054594,0.6408541364156,44,82.54982654552423
4,Aysén,Valdivia,Nothofagus obliqua,16.69800926710845,10.350420413330616,371,41.81767768340727,0.3103980952958448,29,48.75782472265541
5,Aysén,Coyhaique,Nothofagus obliqua,6.25626961931806,31.30515613004096,345,39.89357201570938,0.6561111504781671,29,46.82615878222663
6,Magallanes y de la Antártica Chilena,Validvia,Fitzroya cupressoides,24.905404469646086,12.914814967692791,275,65.44761368819701,0.2104617476832122,7,55.31732847837074
7,Los Ríos,Pto. Montt,Nothofagus dombeyi,18.270527979283056,21.952012514251145,592,56.53598483327026,0.3182549972794208,73,21.950763741698232
8,Los Rios,Coihaique,Nothofagus pumilio,19.33495109864136,35.488504258088284,215,58.36680860604647,0.2400696531071786,106,47.53328388539189
9,Aysén,Coyaique,Nothofagus pumilio,9.629233090616946,47.72687268474046,416,52.87504455195164,0.5569251023902065,30,76.49017733741965
10,Los Lagos,Punta Arenas,Nothofagus obliqua,21.41324320648298,33.875118082723766,370,53.58156073006032,0.1082266467655486,44,11.238596731001229
11,Aysén,Coyaique,Nothofagus pumilio,12.699914194868525,25.6084072912312,292,26.27273876989533,0.9333103803483388,42,31.833372825949706
12,Aysenn,Coyaique,Nothofagus obliqua,10.237209385907184,29.485804455931586,249,61.91275486527153,0.3335123536628668,42,10.196366915507538
13,Aysén,Puertomontt,Fitzroya cupressoides,14.804138146968905,11.914140428250974,230,41.54777779112836,0.2189701271058013,72,43.256904731987866
14,Aysén,Coyaique,Nothofagus dombeyi,14.687224570058133,25.4924789083485,201,49.502670004250106,0.4965498136018312,11,68.26524083949877
15,Magallanes y de la Antártica Chilena,Pto Montt,Fitzroya cupressoides,9.607314637440016,25.502183960730555,409,42.90240616796999,0.276997818454716,98,73.90174632917028
16,Los Ríos,Puertomontt,Laurelia sempervirens,10.525313232293174,31.5332866213718,369,52.18807347727513,0.5349040863826443,34,85.61518089016053
17,Magallanes y de la Antártica Chilena,Puertomontt,Laurelia sempervirens,10.13384112335975,49.42189612693771,391,58.59640890865994,0.3485091497820854,23,58.68036903766292
18,Magallanes y de la Antártica Chilena,Pto. Montt,Laurelia sempervirens,10.181424660715876,10.632047112677611,309,34.867174512150065,0.1320668107690408,107,30.37014933223164
